symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
MON100,INF247L01AP3,2025-11-10,NSE,EQ,EQ,buy,false,10.000000,235.889999,401476688,1200000013672328,2025-11-10T09:49:04
GOLDSHARE,INF789F1AUX7,2025-11-10,NSE,EQ,EQ,buy,false,6.000000,102.599998,201865500,1100000016068305,2025-11-10T09:54:23
GOLDCASE,INF0R8F01042,2025-11-10,NSE,EQ,EQ,buy,false,1.000000,19.209999,201891053,1100000016266221,2025-11-10T09:55:10
GOLDCASE,,2025-11-17,NSE,EQ,EQ,buy,false,300.000000,19.379999,201929628,1100000014024780,2025-11-17T09:46:36
GOLDSHARE,,2025-11-17,NSE,EQ,EQ,buy,false,11.000000,103.650002,201971640,1100000014384504,2025-11-17T09:47:43
GOLDSHARE,,2025-11-17,NSE,EQ,EQ,buy,false,29.000000,103.599998,201971639,1100000014384504,2025-11-17T09:47:43
SILVERBEES,INF204KC1402,2025-11-21,NSE,EQ,EQ,buy,false,17.000000,145.179993,605968868,1300000050785314,2025-11-21T15:03:37
ITBEES,INF204KB15V2,2025-11-24,NSE,EQ,EQ,buy,false,24.000000,40.970001,203087016,1100000002072567,2025-11-24T10:58:01
EVIETF,INF109K1A153,2025-11-24,NSE,EQ,EQ,buy,false,31.000000,31.250000,203115499,1100000025820953,2025-11-24T10:59:34
INFRAIETF,INF109KC16E5,2025-11-28,NSE,EQ,EQ,buy,false,10.000000,99.379997,203222793,1100000030647655,2025-11-28T11:45:50
EVIETF,INF109K1A153,2025-12-03,NSE,EQ,EQ,buy,false,16.000000,31.240000,205335641,1100000043862373,2025-12-03T13:02:43
INFRAIETF,INF109KC16E5,2025-12-03,NSE,EQ,EQ,buy,false,4.000000,97.650002,205357400,1100000044055630,2025-12-03T13:04:01
GOLDCASE,INF0R8F01042,2025-12-03,NSE,EQ,EQ,buy,false,5.000000,20.230000,205364944,1100000044127272,2025-12-03T13:04:36
INFRAIETF,INF109KC16E5,2025-12-05,NSE,EQ,EQ,buy,false,1.000000,97.669998,203296151,1100000030308176,2025-12-05T11:21:15
AEQUS,INE947N01017,2025-12-10,BSE,EQ,B,sell,false,20.000000,152.000000,60486400,1765356381294808465,2025-12-10T14:31:28
AEQUS,INE947N01017,2025-12-11,BSE,EQ,B,sell,false,50.000000,155.750000,3503200,1765426885519394147,2025-12-11T10:07:30
AEQUS,INE947N01017,2025-12-17,NSE,EQ,EQ,sell,false,50.000000,150.000000,2414943,1000000011237968,2025-12-17T10:07:54
MON100,INF247L01AP3,2025-12-23,NSE,EQ,EQ,buy,false,10.000000,235.580002,400952339,1200000008892571,2025-12-23T09:42:38
ITBEES,INF204KB15V2,2025-12-23,NSE,EQ,EQ,buy,false,46.000000,42.840000,201408627,1100000011708316,2025-12-23T09:44:53
ITBEES,INF204KB15V2,2025-12-24,NSE,EQ,EQ,buy,false,31.000000,42.720001,204503075,1100000037571573,2025-12-24T11:54:38
EVIETF,INF109K1A153,2025-12-24,NSE,EQ,EQ,buy,false,21.000000,31.590000,204525883,1100000037782347,2025-12-24T11:55:56
INFRAIETF,INF109KC16E5,2025-12-24,NSE,EQ,EQ,buy,false,7.000000,98.980003,204549838,1100000038004807,2025-12-24T11:57:14
ITBEES,INF204KB15V2,2025-12-26,NSE,EQ,EQ,buy,false,80.000000,42.310001,207258042,1100000067253780,2025-12-26T14:49:32
